Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Group,MRP_per_unit_Weight,Outlet_Age,Item_Category,Outlet_Age_Binned,Outlet_Total_Sales,Outlet_Identifier_Encoded,Outlet_Type_Encoded,Outlet_Size_Encoded,Outlet_Location_Type_Encoded,Outlet_Age_Encoded,Outlet_Age_Binned_Encoded,OutletType_Size,OutletType_Location,OutletType_AgeBinned,OutletSize_AgeBinned,OutletLocation_AgeBinned,OutletType_Size_Encoded,OutletType_Location_Encoded,OutletType_AgeBinned_Encoded,OutletSize_AgeBinned_Encoded,OutletLocation_AgeBinned_Encoded
FDU32,8.785,Low Fat,0.0259022945,Fruits and Vegetables,123.0414,OUT010,1998,Small,Tier 3,Grocery Store,121.8414,FD,14.005850882185543,11,Food,Moderate,188340.1724,188340.1724,368034.266,8958743.1406,7636752.632,188340.1724,2306735.3406,Grocery Store_Small,Grocery Store_Tier 3,Grocery Store_Moderate,Small_Moderate,Tier 3_Moderate,368034.266,188340.1724,188340.1724,2306735.3406,188340.1724
FDG09,20.6,Regular,0.04792722,Fruits and Vegetables,185.9556,OUT035,2004,Small,Tier 2,Supermarket Type1,4318.3788,FD,9.026970873786407,5,Food,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDE39,7.89,Low Fat,0.036207786,Dairy,121.0782,OUT045,2002,Small,Tier 2,Supermarket Type1,3456.1678,FD,15.34577946768061,7,Food,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDU56,16.85,Low Fat,0.044377096,Fruits and Vegetables,185.8266,OUT013,1987,High,Tier 3,Supermarket Type1,1659.8394,FD,11.028284866468843,22,Food,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
NCH55,16.35,Low Fat,0.034742632,Household,127.402,OUT045,2002,Small,Tier 2,Supermarket Type1,759.012,NC,7.792171253822629,7,Non-Consumable,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDX33,9.195,Regular,0.116915909,Snack Foods,159.4578,OUT027,1985,Medium,Tier 3,Supermarket Type3,4974.1918,FD,17.34179445350734,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDR24,17.35,Regular,0.062979148,Baking Goods,87.983,OUT045,2002,Small,Tier 2,Supermarket Type1,1707.777,FD,5.071066282420749,7,Food,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDC33,8.96,Regular,0.068604503,Fruits and Vegetables,197.3768,OUT027,1985,Medium,Tier 3,Supermarket Type3,7488.9184,FD,22.028660714285714,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
NCV54,11.1,Low Fat,0.03294861,Household,116.8124,OUT027,1985,Medium,Tier 3,Supermarket Type3,2488.7604,NC,10.52363963963964,24,Non-Consumable,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
NCQ02,12.6,Low Fat,0.007450258,Household,186.7556,OUT013,1987,High,Tier 3,Supermarket Type1,2816.334,NC,14.821873015873015,22,Non-Consumable,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
NCU17,5.32,Low Fat,0.093027718,Health and Hygiene,101.4674,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954.1546,NC,19.07281954887218,10,Non-Consumable,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
NCZ06,19.6,Low Fat,0.164864915,Household,255.2698,OUT019,1985,Small,Tier 1,Grocery Store,761.0094,NC,13.023969387755102,24,Non-Consumable,Old,179694.0936,179694.0936,368034.266,8958743.1406,4482059.072,3633620.145,5776283.7232,Grocery Store_Small,Grocery Store_Tier 1,Grocery Store_Old,Small_Old,Tier 1_Old,368034.266,179694.0936,179694.0936,179694.0936,179694.0936
FDV37,13.0,Regular,0.083498083,Canned,199.4426,OUT035,2004,Small,Tier 2,Supermarket Type1,593.2278,FD,15.341738461538462,5,Food,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
DRH25,18.7,Low Fat,0.014522363,Soft Drinks,50.2324,OUT027,1985,Medium,Tier 3,Supermarket Type3,1298.31,DR,2.6862245989304814,24,Drinks,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
NCI43,19.85,Low Fat,0.025963795,Household,46.3376,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5024,NC,2.3343879093198994,5,Non-Consumable,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
NCQ53,17.6,Low Fat,0.019012262,Health and Hygiene,237.159,OUT017,2007,Small,Tier 2,Supermarket Type1,3072.667,NC,13.47494318181818,2,Non-Consumable,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
NCT18,14.6,Low Fat,0.059393919,Household,181.7976,OUT035,2004,Small,Tier 2,Supermarket Type1,3259.7568,NC,12.451890410958903,5,Non-Consumable,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDF14,7.55,Low Fat,0.027212058,Canned,152.734,OUT049,1999,Medium,Tier 1,Supermarket Type1,2756.412,FD,20.229668874172187,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDM14,13.8,Low Fat,0.013263968,Canned,106.9254,OUT046,1997,Small,Tier 1,Supermarket Type1,2930.1858,FD,7.7482173913043475,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDX57,17.25,Regular,0.079113947,Snack Foods,99.2068,OUT010,1998,Small,Tier 3,Grocery Store,97.2068,FD,5.75111884057971,11,Food,Moderate,188340.1724,188340.1724,368034.266,8958743.1406,7636752.632,188340.1724,2306735.3406,Grocery Store_Small,Grocery Store_Tier 3,Grocery Store_Moderate,Small_Moderate,Tier 3_Moderate,368034.266,188340.1724,188340.1724,2306735.3406,188340.1724
NCV05,10.1,Low Fat,0.03020851,Health and Hygiene,153.1656,OUT046,1997,Small,Tier 1,Supermarket Type1,1544.656,NC,15.16491089108911,12,Non-Consumable,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDX39,14.3,Regular,0.049634817,Meat,212.5586,OUT013,1987,High,Tier 3,Supermarket Type1,3165.879,FD,14.864237762237762,22,Food,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
FDA23,9.8,Low Fat,0.047187038,Baking Goods,100.6016,OUT046,1997,Small,Tier 1,Supermarket Type1,1619.2256,FD,10.265469387755102,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
NCV06,11.3,Low Fat,0.066681333,Household,194.4478,OUT046,1997,Small,Tier 1,Supermarket Type1,387.4956,NC,17.207769911504425,12,Non-Consumable,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
NCE31,7.67,Low Fat,0.185218446,Household,36.3216,OUT045,2002,Small,Tier 2,Supermarket Type1,415.4592,NC,4.735541069100391,7,Non-Consumable,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
DRI39,13.8,Low Fat,0.162462044,Dairy,55.893,OUT010,1998,Small,Tier 3,Grocery Store,226.372,DR,4.050217391304348,11,Drinks,Moderate,188340.1724,188340.1724,368034.266,8958743.1406,7636752.632,188340.1724,2306735.3406,Grocery Store_Small,Grocery Store_Tier 3,Grocery Store_Moderate,Small_Moderate,Tier 3_Moderate,368034.266,188340.1724,188340.1724,2306735.3406,188340.1724
FDH21,10.395,Low Fat,0.031273559,Seafood,160.0604,OUT049,1999,Medium,Tier 1,Supermarket Type1,1267.6832,FD,15.397825877825877,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDR26,20.7,Low Fat,0.042836778,Dairy,175.8028,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.9252,FD,8.492888888888888,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDA14,16.1,Low Fat,0.114127418,Dairy,147.176,OUT019,1985,Small,Tier 1,Grocery Store,585.904,FD,9.141366459627328,24,Food,Old,179694.0936,179694.0936,368034.266,8958743.1406,4482059.072,3633620.145,5776283.7232,Grocery Store_Small,Grocery Store_Tier 1,Grocery Store_Old,Small_Old,Tier 1_Old,368034.266,179694.0936,179694.0936,179694.0936,179694.0936
FDG21,17.35,Regular,0.146895866,Seafood,149.605,OUT018,2009,Medium,Tier 3,Supermarket Type2,3745.125,FD,8.622766570605187,0,Food,New,1851822.83,1851822.83,1851822.83,7489718.6916,7636752.632,1851822.83,10508106.3466,Supermarket Type2_Medium,Supermarket Type2_Tier 3,Supermarket Type2_New,Medium_New,Tier 3_New,1851822.83,1851822.83,1851822.83,4035792.6402,1851822.83
NCQ38,16.35,Low Fat,0.013420879,Others,104.828,OUT018,2009,Medium,Tier 3,Supermarket Type2,1810.976,NC,6.411498470948012,0,Non-Consumable,New,1851822.83,1851822.83,1851822.83,7489718.6916,7636752.632,1851822.83,10508106.3466,Supermarket Type2_Medium,Supermarket Type2_Tier 3,Supermarket Type2_New,Medium_New,Tier 3_New,1851822.83,1851822.83,1851822.83,4035792.6402,1851822.83
FDN20,19.35,Low Fat,0.026181893,Fruits and Vegetables,167.0474,OUT046,1997,Small,Tier 1,Supermarket Type1,2358.2636,FD,8.632940568475451,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
NCN29,15.2,Low Fat,0.012184999,Health and Hygiene,50.3034,OUT017,2007,Small,Tier 2,Supermarket Type1,145.8102,NC,3.3094342105263164,2,Non-Consumable,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDI28,14.3,Low Fat,0.026428924,Frozen Foods,78.2302,OUT018,2009,Medium,Tier 3,Supermarket Type2,554.6114,FD,5.4706433566433565,0,Food,New,1851822.83,1851822.83,1851822.83,7489718.6916,7636752.632,1851822.83,10508106.3466,Supermarket Type2_Medium,Supermarket Type2_Tier 3,Supermarket Type2_New,Medium_New,Tier 3_New,1851822.83,1851822.83,1851822.83,4035792.6402,1851822.83
FDA03,18.5,Regular,0.045243613,Dairy,146.8102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3499.4448,FD,7.935686486486487,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDZ28,20.0,Regular,0.051702257,Frozen Foods,127.3678,OUT046,1997,Small,Tier 1,Supermarket Type1,1780.3492,FD,6.36839,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDO52,11.6,Regular,0.076790922,Frozen Foods,172.1106,OUT027,1985,Medium,Tier 3,Supermarket Type3,2566.659,FD,14.837120689655173,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDU10,10.1,Regular,0.045950475,Snack Foods,38.2848,OUT017,2007,Small,Tier 2,Supermarket Type1,1230.3984,FD,3.7905742574257424,2,Food,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDP13,8.1,Regular,0.133673087,Canned,41.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,918.804,FD,5.129382716049383,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDV02,16.75,Low Fat,0.060252433,Dairy,170.7106,OUT027,1985,Medium,Tier 3,Supermarket Type3,3079.9908,FD,10.191677611940298,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDS28,8.18,Regular,0.082529704,Frozen Foods,56.9588,OUT049,1999,Medium,Tier 1,Supermarket Type1,744.3644,FD,6.963178484107579,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDW49,19.5,Low Fat,0.082552214,Canned,179.8002,OUT046,1997,Small,Tier 1,Supermarket Type1,716.4008,FD,9.220523076923076,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDP33,18.7,Low Fat,0.089272253,Snack Foods,254.7672,OUT046,1997,Small,Tier 1,Supermarket Type1,5113.344,FD,13.623914438502675,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDJ03,12.35,Regular,0.072541731,Dairy,48.5692,OUT045,2002,Small,Tier 2,Supermarket Type1,886.8456,FD,3.9327287449392716,7,Food,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDQ51,16.0,Regular,0.017536671,Meat,45.5718,OUT013,1987,High,Tier 3,Supermarket Type1,1039.9796,FD,2.8482375,22,Food,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
DRK23,8.395,Low Fat,0.072088552,Hard Drinks,253.704,OUT049,1999,Medium,Tier 1,Supermarket Type1,4554.072,DR,30.220845741512807,10,Drinks,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDU11,4.785,Low Fat,0.092781435,Breads,119.7098,OUT045,2002,Small,Tier 2,Supermarket Type1,1807.647,FD,25.017722048066876,7,Food,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
NCK06,5.03,Low Fat,0.008644894,Household,122.6756,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.8632,NC,24.388787276341947,5,Non-Consumable,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDY09,15.6,Low Fat,0.025342692,Snack Foods,174.3054,OUT017,2007,Small,Tier 2,Supermarket Type1,1751.054,FD,11.173423076923077,2,Food,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
NCY18,7.285,Low Fat,0.031145743,Household,173.6054,OUT035,2004,Small,Tier 2,Supermarket Type1,2626.581,NC,23.830528483184626,5,Non-Consumable,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDA10,20.35,Low Fat,0.1420914545,Snack Foods,120.9072,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470.0864,FD,5.941385749385749,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDO34,17.7,Low Fat,0.030108283,Snack Foods,165.9816,OUT017,2007,Small,Tier 2,Supermarket Type1,4362.3216,FD,9.377491525423729,2,Food,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDE38,6.52,Low Fat,0.044391149,Canned,164.3842,OUT027,1985,Medium,Tier 3,Supermarket Type3,4476.1734,FD,25.212300613496932,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDF40,20.25,Regular,0.022639471,Dairy,248.4092,OUT017,2007,Small,Tier 2,Supermarket Type1,2241.0828,FD,12.267120987654321,2,Food,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDY02,8.945,Regular,0.087823675,Dairy,264.791,OUT017,2007,Small,Tier 2,Supermarket Type1,4733.838,FD,29.602124091671325,2,Food,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDS03,7.825,Low Fat,0.139419417,Meat,66.0826,OUT019,1985,Small,Tier 1,Grocery Store,258.3304,FD,8.445060702875399,24,Food,Old,179694.0936,179694.0936,368034.266,8958743.1406,4482059.072,3633620.145,5776283.7232,Grocery Store_Small,Grocery Store_Tier 1,Grocery Store_Old,Small_Old,Tier 1_Old,368034.266,179694.0936,179694.0936,179694.0936,179694.0936
FDB59,18.25,Low Fat,0.015278899,Snack Foods,199.0084,OUT046,1997,Small,Tier 1,Supermarket Type1,3174.5344,FD,10.904569863013698,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
NCQ42,20.35,Low Fat,0.039329257,Household,127.6678,OUT049,1999,Medium,Tier 1,Supermarket Type1,2924.8594,NC,6.273601965601965,10,Non-Consumable,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDO15,16.75,Regular,0.008579863,Meat,72.3038,OUT049,1999,Medium,Tier 1,Supermarket Type1,960.7494,FD,4.316644776119403,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
DRN47,12.1,Low Fat,0.028164527,Hard Drinks,178.166,OUT010,1998,Small,Tier 3,Grocery Store,539.298,DR,14.724462809917355,11,Drinks,Moderate,188340.1724,188340.1724,368034.266,8958743.1406,7636752.632,188340.1724,2306735.3406,Grocery Store_Small,Grocery Store_Tier 3,Grocery Store_Moderate,Small_Moderate,Tier 3_Moderate,368034.266,188340.1724,188340.1724,2306735.3406,188340.1724
FDA03,18.5,Regular,0.045444856,Dairy,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,2041.3428,FD,7.795145945945945,5,Food,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
