Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Base,Z_Score,IQR_Outlier,Z_Outlier,Visibility_Outlier,Outlet_Age,Item_Category,Outlet_Identifier_Encoded
FDH10,21.0,Low Fat,0.082526478,Snack Foods,191.8478,OUT010,1998,Small,Tier 3,Grocery Store,774.9912,FDH,0.24614260086392828,False,False,False,27,Staples,339.351661981982
FDP28,13.65,Regular,0.080765853,Frozen Foods,262.8936,OUT049,1999,Medium,Tier 1,Supermarket Type1,4958.8784,FDP,0.2109118535846763,False,False,False,26,Perishables,2348.3546346236562
FDJ44,12.3,Regular,0.17797002,Fruits and Vegetables,173.1396,OUT010,1998,Small,Tier 3,Grocery Store,697.7584,FDJ,2.1560026265017966,False,False,False,27,Perishables,339.351661981982
FDI07,12.35,Regular,0.03382933,Meat,196.9426,OUT045,2002,Small,Tier 2,Supermarket Type1,2768.3964,FDI,-0.7283050608518437,False,False,False,23,Perishables,2192.384797631862
DRJ24,11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,2007,Small,Tier 2,Supermarket Type1,2591.2936,DRJ,0.8753441271093766,False,False,False,18,Staples,2340.67526349892
DRL47,19.7,Low Fat,0.038729457,Hard Drinks,127.3362,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0172,DRL,-0.6302517354854316,False,False,False,21,Staples,2438.841866021505
FDP38,10.1,Low Fat,0.032075379,Canned,50.9008,OUT013,1987,High,Tier 3,Supermarket Type1,354.2056,FDP,-0.7634022589611463,False,False,False,38,Staples,2298.995255579399
FDK02,12.5,Low Fat,0.196490902,Canned,120.544,OUT019,1985,Small,Tier 1,Grocery Store,479.376,FDK,2.526612218624393,False,False,False,40,Staples,340.3297227272727
FDO23,17.85,Low Fat,0.146305498,Breads,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,1607.2412,FDO,1.5223840124867085,False,False,False,38,Staples,2298.995255579399
NCE54,20.7,Low Fat,0.026877471,Household,74.6354,OUT013,1987,High,Tier 3,Supermarket Type1,1053.2956,NCE,-0.8674142905572001,False,False,False,38,Household,2298.995255579399
FDS52,8.89,Low Fat,0.005474515,Frozen Foods,99.7016,OUT046,1997,Small,Tier 1,Supermarket Type1,1922.8304,FDS,-1.2956952327595146,False,False,False,28,Perishables,2277.8442668817206
FDW01,14.5,Low Fat,0.064048405,Canned,153.4682,OUT035,2004,Small,Tier 2,Supermarket Type1,1677.1502,FDW,-0.12361036758225946,False,False,False,21,Staples,2438.841866021505
NCF07,9.0,Low Fat,0.032203667,Household,100.8016,OUT017,2007,Small,Tier 2,Supermarket Type1,1113.2176,NCF,-0.7608351693725284,False,False,False,18,Household,2340.67526349892
DRE15,13.35,Low Fat,0.017857847,Dairy,77.5012,OUT018,2009,Medium,Tier 3,Supermarket Type2,1518.024,DRE,-1.0479002507689863,False,False,False,16,Perishables,1995.498739224138
FDR58,6.675,Low Fat,0.041921462,Snack Foods,92.3462,OUT046,1997,Small,Tier 1,Supermarket Type1,2406.2012,FDR,-0.566378553252356,False,False,False,28,Staples,2277.8442668817206
FDL24,10.3,Regular,0.024875871,Baking Goods,173.0422,OUT013,1987,High,Tier 3,Supermarket Type1,2069.3064,FDL,-0.9074670353234909,False,False,False,38,Staples,2298.995255579399
FDQ25,8.63,Regular,0.028139761,Canned,173.7422,OUT027,1985,Medium,Tier 3,Supermarket Type3,3621.2862,FDQ,-0.8421554080676711,False,False,False,40,Staples,3694.0385576470585
FDX56,17.1,Regular,0.073997843,Fruits and Vegetables,207.0638,OUT013,1987,High,Tier 3,Supermarket Type1,4969.5312,FDX,0.0754815093072462,False,False,False,38,Perishables,2298.995255579399
FDD20,14.15,Low Fat,0.020798905,Fruits and Vegetables,123.6046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1245.046,FDD,-0.9890486093736736,False,False,False,16,Perishables,1995.498739224138
DRF60,10.8,Low Fat,0.052363244,Soft Drinks,236.5564,OUT017,2007,Small,Tier 2,Supermarket Type1,5243.8408,DRF,-0.35743469366440145,False,False,False,18,Staples,2340.67526349892
FDW13,8.5,Low Fat,0.098283459,Canned,51.3324,OUT018,2009,Medium,Tier 3,Supermarket Type2,934.7832,FDW,0.5614455276626362,False,False,False,16,Staples,1995.498739224138
FDF09,6.215,Low Fat,0.012138795,Fruits and Vegetables,39.2848,OUT013,1987,High,Tier 3,Supermarket Type1,521.9872,FDF,-1.1623405635493345,False,False,False,38,Perishables,2298.995255579399
FDY45,17.5,Low Fat,0.0261889445,Snack Foods,253.0356,OUT035,2004,Small,Tier 2,Supermarket Type1,4578.0408,FDY,-0.8811919565091024,False,False,False,21,Staples,2438.841866021505
FDR26,20.7,Low Fat,0.042923652,Dairy,178.3028,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,FDR,-0.5463243664631229,False,False,False,23,Perishables,2192.384797631862
FDZ01,8.975,Regular,0.009058845,Canned,103.399,OUT046,1997,Small,Tier 1,Supermarket Type1,2579.975,FDZ,-1.2239714844340954,False,False,False,28,Staples,2277.8442668817206
FDH53,20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,1998,Small,Tier 3,Grocery Store,165.1184,FDH,-0.7621808663577067,False,False,False,27,Perishables,339.351661981982
FDG52,13.65,Low Fat,0.065898197,Frozen Foods,46.1402,OUT018,2009,Medium,Tier 3,Supermarket Type2,459.402,FDG,-0.08659535616802749,False,False,False,16,Perishables,1995.498739224138
FDW50,13.1,Low Fat,0.075731322,Dairy,167.5158,OUT045,2002,Small,Tier 2,Supermarket Type1,1504.0422,FDW,0.11016905524286041,False,False,False,23,Perishables,2192.384797631862
FDX49,4.615,Regular,0.101812521,Canned,232.23,OUT035,2004,Small,Tier 2,Supermarket Type1,5126.66,FDX,0.6320633431854259,False,False,False,21,Staples,2438.841866021505
FDJ44,12.3,Regular,0.106327251,Fruits and Vegetables,172.8396,OUT046,1997,Small,Tier 1,Supermarket Type1,2616.594,FDJ,0.7224047342619226,False,False,False,28,Perishables,2277.8442668817206
NCI31,20.0,Low Fat,0.080933328,Others,37.519,OUT027,1985,Medium,Tier 3,Supermarket Type3,842.237,NCI,0.21426308931096252,False,False,False,40,Household,3694.0385576470585
FDZ52,19.2,Low Fat,0.100055601,Frozen Foods,112.4886,OUT035,2004,Small,Tier 2,Supermarket Type1,1223.0746,FDZ,0.5969067343051341,False,False,False,21,Perishables,2438.841866021505
FDE17,20.1,Regular,0.054540159,Frozen Foods,152.1366,OUT049,1999,Medium,Tier 1,Supermarket Type1,755.683,FDE,-0.31387383191734425,False,False,False,26,Perishables,2348.3546346236562
FDG34,11.5,Regular,0.037723476,Snack Foods,109.5254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1953.4572,FDG,-0.650381781564937,False,False,False,16,Staples,1995.498739224138
FDE26,9.3,Low Fat,0.14897741,Canned,143.0786,OUT010,1998,Small,Tier 3,Grocery Store,288.9572,FDE,1.5758499444281502,False,False,False,27,Staples,339.351661981982
FDD56,15.2,Regular,0.104201019,Fruits and Vegetables,176.5054,OUT018,2009,Medium,Tier 3,Supermarket Type2,2976.7918,FDD,0.6798580577981338,False,False,False,16,Perishables,1995.498739224138
FDR52,12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,2002,Small,Tier 2,Supermarket Type1,2675.1844,FDR,0.11952364032107739,False,False,False,23,Perishables,2192.384797631862
FDQ13,11.1,Low Fat,0.010639596,Canned,84.1908,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0172,FDQ,-1.1923400813855045,False,False,False,21,Staples,2438.841866021505
NCJ42,19.75,Low Fat,0.025039776,Household,102.7332,OUT019,1985,Small,Tier 1,Grocery Store,410.1328,NCJ,-0.9041872365970126,False,False,False,40,Household,340.3297227272727
FDH10,21.0,Low Fat,0.086326707,Snack Foods,192.6478,OUT019,1985,Small,Tier 1,Grocery Store,387.4956,FDH,0.3221865667864186,False,False,False,40,Staples,340.3297227272727
NCG42,19.2,Low Fat,0.041220035,Household,131.231,OUT035,2004,Small,Tier 2,Supermarket Type1,3635.268,NCG,-0.5804143629062254,False,False,False,21,Household,2438.841866021505
FDT31,19.75,Low Fat,0.01247354,Fruits and Vegetables,187.5872,OUT045,2002,Small,Tier 2,Supermarket Type1,1323.6104,FDT,-1.1556421942214008,False,False,False,23,Perishables,2192.384797631862
DRD25,6.135,Low Fat,0.079132212,Soft Drinks,112.686,OUT045,2002,Small,Tier 2,Supermarket Type1,2942.836,DRD,0.17822210237926647,False,False,False,23,Staples,2192.384797631862
FDR35,12.5,Low Fat,0.020693809,Breads,199.1742,OUT035,2004,Small,Tier 2,Supermarket Type1,4379.6324,FDR,-0.9911516185982729,False,False,False,21,Staples,2438.841866021505
FDL33,7.235,Low Fat,0.10016525,Snack Foods,193.9452,OUT045,2002,Small,Tier 2,Supermarket Type1,2936.178,FDL,0.5991008507174439,False,False,False,23,Staples,2192.384797631862
FDT45,15.85,Low Fat,0.057302606,Snack Foods,53.3956,OUT035,2004,Small,Tier 2,Supermarket Type1,600.5516,FDT,-0.25859626166284494,False,False,False,21,Staples,2438.841866021505
FDT16,9.895,Regular,0.048761046,Frozen Foods,260.5278,OUT045,2002,Small,Tier 2,Supermarket Type1,8851.1452,FDT,-0.4295159871754143,False,False,False,23,Perishables,2192.384797631862
DRE49,20.75,Low Fat,0.02128304,Soft Drinks,153.0024,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384,DRE,-0.979360891754055,False,False,False,21,Staples,2438.841866021505
DRF60,10.8,Low Fat,0.052149675,Soft Drinks,239.9564,OUT049,1999,Medium,Tier 1,Supermarket Type1,3813.7024,DRF,-0.3617082871131385,False,False,False,26,Staples,2348.3546346236562
NCB54,8.76,Low Fat,0.050130529,Health and Hygiene,128.3336,OUT049,1999,Medium,Tier 1,Supermarket Type1,2556.672,NCB,-0.4021121337277853,False,False,False,26,Household,2348.3546346236562
FDH20,16.1,Regular,0.024987903,Fruits and Vegetables,97.341,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.033,FDH,-0.9052252342135504,False,False,False,26,Perishables,2348.3546346236562
FDA31,7.1,Low Fat,0.109990885,Fruits and Vegetables,172.908,OUT035,2004,Small,Tier 2,Supermarket Type1,2769.728,FDA,0.7957153845012837,False,False,False,21,Perishables,2438.841866021505
FDE33,19.35,Regular,0.049736267,Fruits and Vegetables,76.8644,OUT045,2002,Small,Tier 2,Supermarket Type1,1571.288,FDE,-0.4100014598953749,False,False,False,23,Perishables,2192.384797631862
FDM12,16.7,Regular,0.117026714,Baking Goods,189.2214,OUT010,1998,Small,Tier 3,Grocery Store,188.4214,FDM,0.9365048844794348,False,False,False,27,Staples,339.351661981982
FDW44,9.5,Regular,0.035121963,Fruits and Vegetables,168.6448,OUT013,1987,High,Tier 3,Supermarket Type1,1022.6688,FDW,-0.702439003884675,False,False,False,38,Perishables,2298.995255579399
DRE48,8.43,Low Fat,0.017311312,Soft Drinks,197.8768,OUT013,1987,High,Tier 3,Supermarket Type1,3744.4592,DRE,-1.0588366151079374,False,False,False,38,Staples,2298.995255579399
NCX18,14.15,Low Fat,0.008811818,Household,196.511,OUT045,2002,Small,Tier 2,Supermarket Type1,2749.754,NCX,-1.2289145846446181,False,False,False,23,Household,2192.384797631862
FDA38,5.44,Low Fat,0.025583714,Dairy,239.1538,OUT018,2009,Medium,Tier 3,Supermarket Type2,480.7076,FDA,-0.893302839173608,False,False,False,16,Perishables,1995.498739224138
FDQ19,7.35,Regular,0.014353174,Fruits and Vegetables,242.6512,OUT013,1987,High,Tier 3,Supermarket Type1,969.4048,FDQ,-1.1180300335219393,False,False,False,38,Perishables,2298.995255579399
FDY47,8.6,Regular,0.054220618,Breads,129.131,OUT027,1985,Medium,Tier 3,Supermarket Type3,4933.578,FDY,-0.32026796366962507,False,False,False,40,Staples,3694.0385576470585
FDE17,20.1,Regular,0.054410179,Frozen Foods,151.3366,OUT013,1987,High,Tier 3,Supermarket Type1,2720.4588,FDE,-0.31647477904200566,False,False,False,38,Perishables,2298.995255579399
FDY25,12.0,Low Fat,0.033974436,Canned,181.8976,OUT046,1997,Small,Tier 1,Supermarket Type1,4527.44,FDY,-0.7254014369599284,False,False,False,28,Staples,2277.8442668817206
FDT03,21.25,Low Fat,0.009996872,Meat,185.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,3123.9336,FDT,-1.2052012226360889,False,False,False,21,Perishables,2438.841866021505
FDB49,8.3,Regular,0.030212499,Baking Goods,98.0384,OUT045,2002,Small,Tier 2,Supermarket Type1,2857.6136,FDB,-0.8006791660206126,False,False,False,23,Staples,2192.384797631862
FDL43,10.1,Low Fat,0.027217468,Meat,76.067,OUT017,2007,Small,Tier 2,Supermarket Type1,1454.773,FDL,-0.8606108267970559,False,False,False,18,Perishables,2340.67526349892
FDE47,14.15,Low Fat,0.038123176,Starchy Foods,123.5046,OUT017,2007,Small,Tier 2,Supermarket Type1,1992.0736,FDE,-0.6423836390374157,False,False,False,18,Staples,2340.67526349892
FDS49,9.0,Low Fat,0.079506434,Canned,78.3644,OUT045,2002,Small,Tier 2,Supermarket Type1,1728.4168,FDS,0.1857104208504551,False,False,False,23,Staples,2192.384797631862
FDU23,12.15,Low Fat,0.021811987,Breads,163.6184,OUT018,2009,Medium,Tier 3,Supermarket Type2,2311.6576,FDU,-0.9687764696987516,False,False,False,16,Staples,1995.498739224138
FDU38,10.8,Low Fat,0.082150145,Dairy,192.9504,OUT027,1985,Medium,Tier 3,Supermarket Type3,7478.2656,FDU,0.23861204051414173,False,False,False,40,Perishables,3694.0385576470585
FDV09,12.1,Low Fat,0.036012919,Snack Foods,148.0734,OUT019,1985,Small,Tier 1,Grocery Store,593.8936,FDV,-0.6846106499348371,False,False,False,40,Staples,340.3297227272727
FDR20,20.0,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.744,FDR,-0.8416007808061368,False,False,False,26,Perishables,2348.3546346236562
FDY11,6.71,Regular,0.029560451,Baking Goods,65.8142,OUT046,1997,Small,Tier 1,Supermarket Type1,856.8846,FDY,-0.8137268839059896,False,False,False,28,Staples,2277.8442668817206
FDG40,13.65,Low Fat,0.039631495,Frozen Foods,31.9558,OUT027,1985,Medium,Tier 3,Supermarket Type3,984.7182,FDG,-0.6122016266807275,False,False,False,40,Perishables,3694.0385576470585
FDX20,7.365,Low Fat,0.04280099,Fruits and Vegetables,228.372,OUT017,2007,Small,Tier 2,Supermarket Type1,2037.348,FDX,-0.5487788777433601,False,False,False,18,Perishables,2340.67526349892
FDZ27,7.935,Low Fat,0.017141985,Dairy,50.035,OUT013,1987,High,Tier 3,Supermarket Type1,149.805,FDZ,-1.0622249100285217,False,False,False,38,Perishables,2298.995255579399
FDH09,12.6,Low Fat,0.056394771,Seafood,51.3982,OUT017,2007,Small,Tier 2,Supermarket Type1,473.3838,FDH,-0.2767623705481894,False,False,False,18,Perishables,2340.67526349892
FDG29,17.6,Low Fat,0.056379439,Frozen Foods,42.7454,OUT049,1999,Medium,Tier 1,Supermarket Type1,293.6178,FDG,-0.27706916945044596,False,False,False,26,Perishables,2348.3546346236562
NCA30,19.0,Low Fat,0.129534812,Household,190.1872,OUT049,1999,Medium,Tier 1,Supermarket Type1,5105.3544,NCA,1.1867964795562496,False,False,False,26,Household,2348.3546346236562
NCL53,7.5,Low Fat,0.036439878,Health and Hygiene,175.3028,OUT017,2007,Small,Tier 2,Supermarket Type1,3010.7476,NCL,-0.6760670448925356,False,False,False,18,Household,2340.67526349892
DRE15,13.35,Low Fat,0.017760368,Dairy,77.6012,OUT046,1997,Small,Tier 1,Supermarket Type1,986.7156,DRE,-1.0498508410502978,False,False,False,28,Perishables,2277.8442668817206
NCS38,8.6,Low Fat,0.090191431,Household,112.9176,OUT046,1997,Small,Tier 1,Supermarket Type1,458.0704,NCS,0.3995211011410142,False,False,False,28,Household,2277.8442668817206
FDY21,15.1,Low Fat,0.1977458405,Snack Foods,196.011,OUT019,1985,Small,Tier 1,Grocery Store,589.233,FDY,4.672773153056235,True,True,True,40,Staples,340.3297227272727
FDB58,10.5,Regular,0.022590318,Snack Foods,140.6154,OUT010,1998,Small,Tier 3,Grocery Store,283.6308,FDB,-0.9532017830047611,False,False,False,27,Staples,339.351661981982
FDH41,9.0,Low Fat,0.082011521,Frozen Foods,213.3534,OUT046,1997,Small,Tier 1,Supermarket Type1,1935.4806,FDH,0.2358381238022703,False,False,False,28,Perishables,2277.8442668817206
DRF23,4.61,Low Fat,0.122843005,Hard Drinks,172.4396,OUT049,1999,Medium,Tier 1,Supermarket Type1,1569.9564,DRF,1.0528909850537127,False,False,False,26,Staples,2348.3546346236562
FDE05,10.895,Regular,0.05432142,Frozen Foods,146.2102,OUT010,1998,Small,Tier 3,Grocery Store,437.4306,FDE,-0.3182508789484361,False,False,False,27,Perishables,339.351661981982
FDY10,17.6,Low Fat,0.049144165,Snack Foods,112.7176,OUT049,1999,Medium,Tier 1,Supermarket Type1,1717.764,FDY,-0.42184963649490054,False,False,False,26,Staples,2348.3546346236562
FDS43,11.65,Low Fat,0.040577878,Fruits and Vegetables,188.224,OUT049,1999,Medium,Tier 1,Supermarket Type1,1304.968,FDS,-0.5932641582803696,False,False,False,26,Perishables,2348.3546346236562
NCM30,19.1,Low Fat,0.067400032,Household,41.9796,OUT049,1999,Medium,Tier 1,Supermarket Type1,784.3124,NCM,-0.056543091012111184,False,False,False,26,Household,2348.3546346236562
FDY49,17.2,Regular,0.012036432,Canned,165.7184,OUT045,2002,Small,Tier 2,Supermarket Type1,1816.3024,FDY,-1.1643888844488706,False,False,False,23,Staples,2192.384797631862
FDN02,16.5,Low Fat,0.073977473,Canned,206.8638,OUT045,2002,Small,Tier 2,Supermarket Type1,2070.638,FDN,0.07507389819069493,False,False,False,23,Staples,2192.384797631862
FDP37,15.6,Low Fat,0.143396175,Breakfast,128.0994,OUT045,2002,Small,Tier 2,Supermarket Type1,2184.4898,FDP,1.464167399995851,False,False,False,23,Staples,2192.384797631862
NCF07,9.0,Low Fat,0.03201648,Household,99.6016,OUT035,2004,Small,Tier 2,Supermarket Type1,1922.8304,NCF,-0.7645808493957935,False,False,False,21,Household,2438.841866021505
FDJ09,15.0,Low Fat,0.058346234,Snack Foods,44.0744,OUT013,1987,High,Tier 3,Supermarket Type1,633.8416,FDJ,-0.2377128854063729,False,False,False,38,Staples,2298.995255579399
FDO23,17.85,Low Fat,0.14571827,Breads,94.3436,OUT027,1985,Medium,Tier 3,Supermarket Type3,2269.0464,FDO,1.5106333664017668,False,False,False,40,Staples,3694.0385576470585
FDH09,12.6,Low Fat,0.055806016,Seafood,52.4982,OUT027,1985,Medium,Tier 3,Supermarket Type3,1209.7586,FDH,-0.2885435724590995,False,False,False,40,Perishables,3694.0385576470585
FDX34,6.195,Low Fat,0.072097449,Snack Foods,119.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1205.098,FDX,0.037453933449237385,False,False,False,26,Staples,2348.3546346236562
FDV60,20.2,Regular,0.117543713,Baking Goods,197.311,OUT049,1999,Medium,Tier 1,Supermarket Type1,3338.987,FDV,0.9468502227045683,False,False,False,26,Staples,2348.3546346236562
FDE32,20.7,Low Fat,0.048718334,Fruits and Vegetables,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,227.7036,FDE,-0.43037066984650635,False,False,False,38,Perishables,2298.995255579399
NCI30,20.25,Low Fat,0.0591756,Household,245.046,OUT018,2009,Medium,Tier 3,Supermarket Type2,4680.574,NCI,-0.22111696978095335,False,False,False,16,Household,1995.498739224138
FDS37,7.655,Low Fat,0.031918284,Canned,117.7492,OUT013,1987,High,Tier 3,Supermarket Type1,695.0952,FDS,-0.766545787108159,False,False,False,38,Staples,2298.995255579399
FDC57,20.1,Regular,0.095587976,Fruits and Vegetables,193.982,OUT019,1985,Small,Tier 1,Grocery Store,579.246,FDC,0.5075079314291852,False,False,False,40,Perishables,340.3297227272727
DRC01,5.92,Regular,0.019308607,Soft Drinks,49.0692,OUT017,2007,Small,Tier 2,Supermarket Type1,1478.076,DRC,-1.0188700149590622,False,False,False,18,Staples,2340.67526349892
DRD27,18.75,Low Fat,0.023974769,Dairy,99.0042,OUT017,2007,Small,Tier 2,Supermarket Type1,694.4294,DRD,-0.9254984144274049,False,False,False,18,Perishables,2340.67526349892
FDI12,9.395,Regular,0.100602552,Baking Goods,88.3856,OUT045,2002,Small,Tier 2,Supermarket Type1,703.0848,FDI,0.6078514229555476,False,False,False,23,Staples,2192.384797631862
FDQ33,13.35,Low Fat,0.091189915,Snack Foods,149.3708,OUT035,2004,Small,Tier 2,Supermarket Type1,4514.124,FDQ,0.41950112952092267,False,False,False,21,Staples,2438.841866021505
FDQ27,5.19,Regular,0.077480627,Meat,101.399,OUT019,1985,Small,Tier 1,Grocery Store,206.398,FDQ,0.14517328520059225,False,False,False,40,Perishables,340.3297227272727
NCB07,19.2,Low Fat,0.129731747,Household,196.211,OUT010,1998,Small,Tier 3,Grocery Store,589.233,NCB,1.1907372206086826,False,False,False,27,Household,339.351661981982
FDC08,19.0,Regular,0.103363904,Fruits and Vegetables,226.172,OUT013,1987,High,Tier 3,Supermarket Type1,3169.208,FDC,0.6631070818613665,False,False,False,38,Perishables,2298.995255579399
FDD20,14.15,Low Fat,0.020714523,Fruits and Vegetables,124.2046,OUT046,1997,Small,Tier 1,Supermarket Type1,2490.092,FDD,-0.990737123916474,False,False,False,28,Perishables,2277.8442668817206
FDS24,20.85,Regular,0.062212713,Baking Goods,88.1514,OUT035,2004,Small,Tier 2,Supermarket Type1,1151.1682,FDS,-0.16034323286279598,False,False,False,21,Staples,2438.841866021505
FDH34,8.63,Low Fat,0.031271134,Snack Foods,186.0582,OUT017,2007,Small,Tier 2,Supermarket Type1,3900.9222,FDH,-0.7794954942302139,False,False,False,18,Staples,2340.67526349892
NCX30,16.7,Low Fat,0.026729068,Household,248.4776,OUT018,2009,Medium,Tier 3,Supermarket Type2,6439.6176,NCX,-0.8703838886195261,False,False,False,16,Household,1995.498739224138
FDM01,7.895,Regular,0.094567181,Breakfast,104.5332,OUT046,1997,Small,Tier 1,Supermarket Type1,1845.5976,FDM,0.48708145181602264,False,False,False,28,Staples,2277.8442668817206
FDB20,7.72,Low Fat,0.05193741,Fruits and Vegetables,77.9986,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832,FDB,-0.36595578704709963,False,False,False,38,Perishables,2298.995255579399
NCK29,5.615,Low Fat,0.126480422,Health and Hygiene,121.573,OUT017,2007,Small,Tier 2,Supermarket Type1,3202.498,NCK,1.1256770235776772,False,False,False,18,Household,2340.67526349892
FDS11,7.05,Regular,0.055644887,Breads,224.9088,OUT049,1999,Medium,Tier 1,Supermarket Type1,2684.5056,FDS,-0.2917678224148588,False,False,False,26,Staples,2348.3546346236562
NCV41,14.35,Low Fat,0.028519419,Health and Hygiene,109.2228,OUT010,1998,Small,Tier 3,Grocery Store,221.0456,NCV,-0.8345583132572791,False,False,False,27,Household,339.351661981982
DRL60,8.52,Low Fat,0.027101431,Soft Drinks,151.7682,OUT049,1999,Medium,Tier 1,Supermarket Type1,2439.4912,DRL,-0.8629327694151846,False,False,False,26,Staples,2348.3546346236562
FDV10,7.645,Regular,0.067083367,Snack Foods,44.0112,OUT017,2007,Small,Tier 2,Supermarket Type1,596.5568,FDV,-0.06287967295726367,False,False,False,18,Staples,2340.67526349892
FDV09,12.1,Low Fat,0.020652362,Snack Foods,149.5734,OUT018,2009,Medium,Tier 3,Supermarket Type2,2227.101,FDV,-0.9919809881587888,False,False,False,16,Staples,1995.498739224138
FDQ39,14.8,Low Fat,0.081042136,Meat,192.4846,OUT046,1997,Small,Tier 1,Supermarket Type1,5159.2842,FDQ,0.21644037700707097,False,False,False,28,Perishables,2277.8442668817206
DRE49,20.75,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.2216,DRE,-0.9782898370160377,False,False,False,16,Staples,1995.498739224138
FDR45,10.8,Low Fat,0.029001987,Snack Foods,238.6222,OUT045,2002,Small,Tier 2,Supermarket Type1,8604.7992,FDR,-0.8249019518781928,False,False,False,23,Staples,2192.384797631862
DRJ23,18.35,Low Fat,0.069745165,Hard Drinks,190.2872,OUT010,1998,Small,Tier 3,Grocery Store,378.1744,DRJ,-0.009616125838247357,False,False,False,27,Staples,339.351661981982
FDQ26,13.5,Regular,0.068148886,Dairy,58.6562,OUT018,2009,Medium,Tier 3,Supermarket Type2,711.0744,FDQ,-0.041558249820456396,False,False,False,16,Perishables,1995.498739224138
NCA06,20.5,Low Fat,0.144094079,Household,34.819,OUT017,2007,Small,Tier 2,Supermarket Type1,1061.951,NCA,1.4781327131370254,False,False,False,18,Household,2340.67526349892
FDT24,12.35,Regular,0.186616421,Baking Goods,78.6328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.0264,FDT,2.3290202585961217,False,False,False,16,Staples,1995.498739224138
DRG27,8.895,Low Fat,0.105323859,Dairy,39.1138,OUT045,2002,Small,Tier 2,Supermarket Type1,609.207,DRG,0.7023264950150513,False,False,False,23,Perishables,2192.384797631862
FDR02,16.7,Low Fat,0.022110425,Dairy,110.8886,OUT045,2002,Small,Tier 2,Supermarket Type1,3558.0352,FDR,-0.9628046166599017,False,False,False,23,Perishables,2192.384797631862
DRG37,16.2,Low Fat,0.019374768,Soft Drinks,155.8972,OUT035,2004,Small,Tier 2,Supermarket Type1,2025.3636,DRG,-1.0175461092603797,False,False,False,21,Staples,2438.841866021505
FDJ07,7.26,Low Fat,0.014482278,Meat,118.115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864.24,FDJ,-1.1154466154762221,False,False,False,16,Perishables,1995.498739224138
FDP32,6.65,Low Fat,0.087805788,Fruits and Vegetables,126.7678,OUT049,1999,Medium,Tier 1,Supermarket Type1,1907.517,FDP,0.35178351611778846,False,False,False,26,Perishables,2348.3546346236562
FDV59,13.35,Low Fat,0.048027043,Breads,218.9166,OUT046,1997,Small,Tier 1,Supermarket Type1,5660.6316,FDV,-0.44420365444994064,False,False,False,28,Staples,2277.8442668817206
FDP60,17.35,Low Fat,0.055908268,Baking Goods,99.8016,OUT035,2004,Small,Tier 2,Supermarket Type1,607.2096,FDP,-0.2864974727099775,False,False,False,21,Staples,2438.841866021505
FDE32,20.7,Low Fat,0.048522793,Fruits and Vegetables,39.6506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.6662,FDE,-0.43428351645139507,False,False,False,40,Perishables,3694.0385576470585
FDK26,5.46,Regular,0.032359413,Canned,187.424,OUT017,2007,Small,Tier 2,Supermarket Type1,3169.208,FDK,-0.7577186352066757,False,False,False,18,Staples,2340.67526349892
FDW28,18.25,Low Fat,0.088807455,Frozen Foods,197.3452,OUT035,2004,Small,Tier 2,Supermarket Type1,2740.4328,FDW,0.3718272374866015,False,False,False,21,Perishables,2438.841866021505
FDP56,8.185,Low Fat,0.046556408,Fruits and Vegetables,47.7692,OUT049,1999,Medium,Tier 1,Supermarket Type1,640.4996,FDP,-0.4736315962461906,False,False,False,26,Perishables,2348.3546346236562
FDT25,7.5,Low Fat,0.050750977,Canned,122.2072,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.1152,FDT,-0.38969674334771154,False,False,False,28,Staples,2277.8442668817206
FDQ12,12.65,Low Fat,0.035404052,Baking Goods,230.601,OUT035,2004,Small,Tier 2,Supermarket Type1,2067.309,FDQ,-0.6967943002883629,False,False,False,21,Staples,2438.841866021505
